fips,county_name,total_population,median_age,pct_white,pct_black,pct_hispanic,pct_asian,pct_foreign_born,pct_under_18,pct_65_plus,pct_moved_in_county,pct_moved_from_state
18001,Adams,35827,33.4,92.82,0.59,4.67,0.14,0.89,31.22,15.63,89.04,5.09
18003,Allen,385456,36.1,71.74,11.07,8.0,4.72,7.49,25.39,15.09,84.46,9.65
18005,Bartholomew,82371,38.0,79.24,1.6,7.91,8.07,11.01,23.9,16.39,82.5,8.69
18007,Benton,8709,40.4,90.78,1.19,5.92,0.06,1.76,24.8,17.3,88.7,2.73
18009,Blackford,12074,44.0,94.64,1.03,1.17,0.14,0.75,21.99,21.43,84.2,3.45
18011,Boone,71235,38.3,88.27,2.16,3.49,3.1,4.6,25.62,14.09,84.5,5.87
18013,Brown,15513,50.7,94.9,0.59,2.09,0.57,1.86,17.08,25.4,88.81,3.51
18015,Carroll,20397,43.1,92.62,0.7,4.7,0.11,1.81,21.94,20.21,90.18,4.24
18017,Cass,37820,41.3,76.7,1.26,16.85,1.41,9.26,22.7,18.06,86.86,7.07
18019,Clark,121484,39.6,81.45,6.9,5.86,1.04,3.92,22.11,16.27,88.92,5.51
18021,Clay,26396,41.1,94.55,0.38,1.76,0.21,0.85,23.23,18.16,88.25,6.74
18023,Clinton,33020,36.7,80.56,0.67,16.99,0.44,7.99,26.79,16.42,88.88,5.15
18025,Crawford,10511,44.6,95.29,0.78,0.75,0.09,0.76,21.59,20.03,93.19,1.76
18027,Daviess,33337,34.9,88.77,1.59,5.69,0.24,3.68,29.32,15.75,87.98,5.65
18029,Dearborn,50709,42.3,95.55,0.51,1.47,0.55,1.19,22.13,18.24,91.34,4.36
18031,Decatur,26432,39.7,93.83,0.22,2.28,0.59,1.48,23.73,17.39,89.24,3.72
18033,DeKalb,43312,38.1,94.29,0.24,3.07,0.4,1.0,24.19,16.59,86.66,5.26
18035,Delaware,112156,35.6,85.72,6.2,2.68,1.49,1.79,18.03,17.3,76.83,12.16
18037,Dubois,43584,40.0,88.64,0.9,8.68,0.5,4.79,24.33,17.81,87.75,6.76
18039,Elkhart,206841,35.6,73.2,4.83,17.25,1.05,8.53,27.36,15.16,87.19,7.24
18041,Fayette,23391,43.0,93.86,1.09,1.45,0.18,1.36,21.92,20.38,86.79,6.2
18043,Floyd,80191,39.8,86.62,5.02,3.74,1.17,2.8,22.42,16.72,88.6,4.5
18045,Fountain,16468,43.1,94.27,0.29,2.82,0.53,1.29,21.65,19.84,85.78,6.55
18047,Franklin,22850,41.8,96.2,0.09,1.29,0.58,1.07,22.85,19.19,91.4,2.46
18049,Fulton,20420,40.9,90.1,1.18,5.49,0.09,2.94,23.74,19.78,88.72,5.39
18051,Gibson,33006,40.4,90.91,1.78,1.97,0.48,1.64,23.91,17.44,87.58,7.15
18053,Grant,66560,40.1,83.98,6.73,4.73,0.85,2.33,21.05,19.05,84.71,8.23
18055,Greene,30900,43.0,95.65,0.6,1.92,0.15,1.12,21.43,19.68,86.78,6.02
18057,Hamilton,349527,37.8,81.19,4.04,4.48,6.46,9.17,25.98,13.1,86.12,6.17
18059,Hancock,80170,39.6,90.34,2.71,2.9,0.86,2.13,23.13,17.09,86.52,5.07
18061,Harrison,39684,42.5,94.85,0.74,2.13,0.65,1.26,22.17,18.32,90.79,2.98
18063,Hendricks,175639,38.4,80.87,8.02,4.53,3.23,5.9,24.54,14.39,85.74,5.13
18065,Henry,48913,42.2,92.73,2.36,2.08,0.48,0.86,20.3,19.1,88.0,5.53
18067,Howard,83452,41.2,83.59,7.72,3.78,1.25,1.99,22.75,19.4,85.43,9.49
18069,Huntington,36699,41.4,93.69,0.94,2.76,0.7,1.61,21.52,17.84,87.19,6.19
18071,Jackson,46212,39.5,86.0,1.09,8.2,1.82,5.69,23.93,16.61,88.28,6.46
18073,Jasper,33045,41.4,88.37,0.97,6.5,0.15,2.74,23.14,18.05,90.65,3.73
18075,Jay,20451,39.6,94.21,0.29,3.43,0.43,0.95,25.52,18.13,83.83,7.01
18077,Jefferson,33057,41.0,92.09,2.08,3.06,0.75,1.23,20.06,18.48,86.08,7.54
18079,Jennings,27610,39.6,94.13,0.79,2.93,0.24,1.18,23.06,16.71,87.05,6.75
18081,Johnson,161952,37.9,86.18,2.53,3.85,4.21,4.89,24.33,15.25,84.42,6.26
18083,Knox,36148,38.9,90.64,2.3,2.56,0.94,1.99,21.34,18.06,85.0,7.16
18085,Kosciusko,80442,39.0,86.53,0.74,8.44,1.52,4.97,23.55,17.36,85.76,6.79
18087,LaGrange,40364,31.9,93.69,0.17,4.35,0.1,2.04,32.09,13.9,88.92,5.27
18089,Lake,497682,39.3,52.59,23.05,20.18,1.47,7.04,23.31,17.05,87.81,6.34
18091,LaPorte,112215,40.5,77.46,10.5,7.19,0.6,3.13,21.3,18.48,84.05,7.04
18093,Lawrence,45113,43.5,94.38,0.32,1.8,0.7,1.22,21.33,20.01,89.52,6.6
18095,Madison,130545,40.7,83.35,7.92,4.64,0.59,1.65,21.5,18.45,85.22,8.31
18097,Marion,971737,34.4,52.54,27.87,11.11,3.88,10.22,24.6,12.84,84.31,8.89
18099,Marshall,46208,39.9,86.4,0.76,10.7,0.66,5.07,24.68,18.06,90.11,4.3
18101,Martin,9863,42.0,94.59,0.2,1.31,0.02,0.28,22.03,20.11,87.15,3.79
18103,Miami,35952,41.1,87.21,4.16,3.68,0.51,1.09,21.04,17.68,82.15,7.53
18105,Monroe,140065,30.8,82.74,3.58,3.77,6.58,7.97,15.76,13.8,72.31,13.94
18107,Montgomery,38018,40.4,90.23,0.74,5.16,0.43,3.35,22.87,18.3,84.61,9.7
18109,Morgan,71757,41.5,94.64,0.47,1.84,0.6,1.14,22.22,17.3,89.2,4.36
18111,Newton,13829,42.7,88.53,1.14,7.35,0.24,3.15,21.04,19.55,85.81,6.37
18113,Noble,47431,39.4,85.93,0.36,10.7,0.69,5.39,24.24,16.39,86.76,5.51
18115,Ohio,5974,47.2,94.78,0.3,0.0,0.44,0.62,20.32,22.35,92.45,2.08
18117,Orange,19768,42.6,93.28,1.59,1.79,0.44,1.46,22.73,19.88,91.89,4.15
18119,Owen,21361,44.9,95.59,0.49,1.34,0.51,0.56,20.3,20.55,86.4,5.4
18121,Parke,16327,42.5,94.44,1.88,0.96,0.0,0.72,21.96,20.13,88.26,3.12
18123,Perry,19186,41.1,93.09,3.16,1.53,0.7,1.18,21.07,18.65,88.88,3.66
18125,Pike,12227,43.9,95.71,0.57,2.28,0.25,0.71,21.39,20.92,89.95,4.61
18127,Porter,173355,40.1,80.95,3.99,10.76,1.37,3.67,21.62,17.22,88.25,5.58
18129,Posey,25226,43.0,95.0,1.01,1.3,0.4,1.3,21.88,19.77,90.71,3.34
18131,Pulaski,12498,41.9,92.65,0.19,3.38,0.26,2.26,21.58,20.7,87.99,5.14
18133,Putnam,36942,38.4,91.35,2.66,2.07,2.63,2.62,19.66,17.03,86.16,3.56
18135,Randolph,24586,42.8,91.95,0.21,4.03,0.45,1.72,23.03,20.28,85.72,6.03
18137,Ripley,28990,40.8,94.86,0.33,1.84,0.69,1.3,23.51,18.39,89.63,4.49
18139,Rush,16716,42.5,94.96,0.57,1.81,0.07,0.75,22.25,18.55,88.94,5.37
18141,St. Joseph,272388,36.7,70.61,12.59,9.53,2.53,6.57,23.17,16.29,85.25,7.9
18143,Scott,24403,41.3,93.96,0.15,2.52,0.06,1.21,22.22,17.08,87.75,4.2
18145,Shelby,44940,40.5,91.26,1.39,4.86,0.9,3.38,22.49,17.58,84.0,7.37
18147,Spencer,19935,44.3,93.94,0.65,3.19,0.4,1.97,21.73,20.13,88.66,4.41
18149,Starke,23308,41.7,92.03,0.17,4.45,0.28,1.6,22.87,18.84,90.64,3.23
18151,Steuben,34507,43.5,92.58,0.31,4.0,0.49,1.44,19.87,21.02,85.26,6.53
18153,Sullivan,20791,40.9,90.88,3.61,1.8,0.11,0.63,19.87,18.23,82.77,8.1
18155,Switzerland,9896,40.8,94.38,0.3,2.09,0.02,1.64,24.23,18.03,90.72,4.77
18157,Tippecanoe,186955,28.4,73.89,5.88,8.92,7.78,11.82,20.24,11.78,75.37,11.67
18159,Tipton,15328,44.4,94.3,0.52,3.06,0.48,1.14,20.73,21.39,90.07,4.21
18161,Union,7041,44.5,94.45,0.41,2.27,0.68,1.11,20.64,20.22,89.19,5.4
18163,Vanderburgh,179900,38.9,81.96,9.74,3.02,1.35,3.07,21.55,17.61,81.86,9.64
18165,Vermillion,15488,42.4,95.73,0.43,1.56,0.17,0.55,21.82,19.92,89.35,4.82
18167,Vigo,106355,36.4,84.82,6.87,2.82,2.03,2.9,20.38,16.79,80.56,10.14
18169,Wabash,31032,42.8,93.44,1.04,2.78,0.37,0.98,20.91,21.19,87.1,7.1
18171,Warren,8454,43.7,94.93,0.09,2.25,0.4,1.1,21.84,20.83,88.62,3.15
18173,Warrick,64065,41.7,90.76,2.06,2.11,2.44,3.99,23.38,18.18,88.05,4.85
18175,Washington,28133,40.9,95.83,0.19,1.41,0.11,0.68,22.66,17.79,86.8,6.27
18177,Wayne,66522,40.9,87.08,3.94,3.33,1.07,2.78,22.35,19.14,82.96,9.79
18179,Wells,28167,40.6,93.11,1.13,3.34,0.19,1.46,24.54,18.2,88.54,4.6
18181,White,24630,42.6,88.21,0.49,9.06,0.29,4.94,23.17,20.3,88.55,5.21
18183,Whitley,34259,41.6,93.31,0.31,2.38,0.22,1.18,23.08,18.23,88.43,4.61
