fips,county_fips_3,unemployment_rate,unemployment_level,employment,labor_force,data_source,data_year
18001,001,,,,,BLS LAUS 2023 Annual Average,2023
18003,003,,,,,BLS LAUS 2023 Annual Average,2023
18005,005,,,,,BLS LAUS 2023 Annual Average,2023
18007,007,,,,,BLS LAUS 2023 Annual Average,2023
18009,009,,,,,BLS LAUS 2023 Annual Average,2023
18011,011,,,,,BLS LAUS 2023 Annual Average,2023
18013,013,,,,,BLS LAUS 2023 Annual Average,2023
18015,015,,,,,BLS LAUS 2023 Annual Average,2023
18017,017,,,,,BLS LAUS 2023 Annual Average,2023
18019,019,,,,,BLS LAUS 2023 Annual Average,2023
18021,021,,,,,BLS LAUS 2023 Annual Average,2023
18023,023,,,,,BLS LAUS 2023 Annual Average,2023
18025,025,,,,,BLS LAUS 2023 Annual Average,2023
18027,027,,,,,BLS LAUS 2023 Annual Average,2023
18029,029,,,,,BLS LAUS 2023 Annual Average,2023
18031,031,,,,,BLS LAUS 2023 Annual Average,2023
18033,033,,,,,BLS LAUS 2023 Annual Average,2023
18035,035,,,,,BLS LAUS 2023 Annual Average,2023
18037,037,,,,,BLS LAUS 2023 Annual Average,2023
18039,039,,,,,BLS LAUS 2023 Annual Average,2023
18041,041,,,,,BLS LAUS 2023 Annual Average,2023
18043,043,,,,,BLS LAUS 2023 Annual Average,2023
18045,045,,,,,BLS LAUS 2023 Annual Average,2023
18047,047,,,,,BLS LAUS 2023 Annual Average,2023
18049,049,,,,,BLS LAUS 2023 Annual Average,2023
18051,051,,,,,BLS LAUS 2023 Annual Average,2023
18053,053,,,,,BLS LAUS 2023 Annual Average,2023
18055,055,,,,,BLS LAUS 2023 Annual Average,2023
18057,057,,,,,BLS LAUS 2023 Annual Average,2023
18059,059,,,,,BLS LAUS 2023 Annual Average,2023
18061,061,,,,,BLS LAUS 2023 Annual Average,2023
18063,063,,,,,BLS LAUS 2023 Annual Average,2023
18065,065,,,,,BLS LAUS 2023 Annual Average,2023
18067,067,,,,,BLS LAUS 2023 Annual Average,2023
18069,069,,,,,BLS LAUS 2023 Annual Average,2023
18071,071,,,,,BLS LAUS 2023 Annual Average,2023
18073,073,,,,,BLS LAUS 2023 Annual Average,2023
18075,075,,,,,BLS LAUS 2023 Annual Average,2023
18077,077,,,,,BLS LAUS 2023 Annual Average,2023
18079,079,,,,,BLS LAUS 2023 Annual Average,2023
18081,081,,,,,BLS LAUS 2023 Annual Average,2023
18083,083,,,,,BLS LAUS 2023 Annual Average,2023
18085,085,,,,,BLS LAUS 2023 Annual Average,2023
18087,087,,,,,BLS LAUS 2023 Annual Average,2023
18089,089,,,,,BLS LAUS 2023 Annual Average,2023
18091,091,,,,,BLS LAUS 2023 Annual Average,2023
18093,093,,,,,BLS LAUS 2023 Annual Average,2023
18095,095,,,,,BLS LAUS 2023 Annual Average,2023
18097,097,,,,,BLS LAUS 2023 Annual Average,2023
18099,099,,,,,BLS LAUS 2023 Annual Average,2023
18101,101,,,,,BLS LAUS 2023 Annual Average,2023
18103,103,,,,,BLS LAUS 2023 Annual Average,2023
18105,105,,,,,BLS LAUS 2023 Annual Average,2023
18107,107,,,,,BLS LAUS 2023 Annual Average,2023
18109,109,,,,,BLS LAUS 2023 Annual Average,2023
18111,111,,,,,BLS LAUS 2023 Annual Average,2023
18113,113,,,,,BLS LAUS 2023 Annual Average,2023
18115,115,,,,,BLS LAUS 2023 Annual Average,2023
18117,117,,,,,BLS LAUS 2023 Annual Average,2023
18119,119,,,,,BLS LAUS 2023 Annual Average,2023
18121,121,,,,,BLS LAUS 2023 Annual Average,2023
18123,123,,,,,BLS LAUS 2023 Annual Average,2023
18125,125,,,,,BLS LAUS 2023 Annual Average,2023
18127,127,,,,,BLS LAUS 2023 Annual Average,2023
18129,129,,,,,BLS LAUS 2023 Annual Average,2023
18131,131,,,,,BLS LAUS 2023 Annual Average,2023
18133,133,,,,,BLS LAUS 2023 Annual Average,2023
18135,135,,,,,BLS LAUS 2023 Annual Average,2023
18137,137,,,,,BLS LAUS 2023 Annual Average,2023
